"x","y","Cluster"
742.003506085068,-191640.398830723,"2"
514.340297096178,-161502.123260727,"3"
1228.59321619811,-191598.847266495,"2"
1656.30594450229,-191582.484534651,"2"
1072.93877775895,-161417.877894141,"3"
1373.79523331217,-161400.889009294,"3"
25.0221537713157,-194641.569685844,"2"
1446.86226937581,-191589.288374541,"2"
313.841230259244,-161605.486626787,"3"
10.49585948763,-169227.514550958,"3"
1063.06475801517,-191608.713488989,"2"
1383.62246574044,-191591.747598599,"2"
1943.35633007906,-160751.558319388,"4"
1203.44644763008,-191600.171289116,"2"
1494.07967101912,-191587.58796118,"2"
1147.07725801593,-191603.350134341,"2"
1834.97509859475,-161385.661445852,"3"
624.948920516759,-191660.048801643,"2"
1137.73257592007,-161413.459983021,"3"
1800.71264384236,-191578.715245358,"2"
1804.24552644555,-191578.630591418,"2"
1669.03027311787,-191582.12620199,"2"
1211.39930220105,-161409.011159081,"3"
1662.70876965317,-191582.303537748,"2"
739.001369755111,-161452.931409736,"3"
1612.25646065252,-161391.927688955,"3"
863.162606054447,-161436.730882786,"3"
1107.08597576056,-161415.485146824,"3"
1168.22013739109,-191602.121865766,"2"
403.666527664759,-161546.484549445,"3"
13.8786049830595,-167313.138838141,"3"
1190.19241721948,-191600.891652501,"2"
43.7351018434179,-193313.862778863,"2"
115.261288533121,-162062.140094186,"3"
277.319221744057,-191816.174536395,"2"
1034.41938836055,-160582.110664306,"4"
1224.50781439796,-191599.058670626,"2"
1821.81198714897,-191578.214543631,"2"
1744.50805663748,-161388.013803771,"3"
536.233451296922,-191680.655827053,"2"
1131.5362449971,-191604.282238052,"2"
145.648899539115,-161911.598050801,"3"
1834.43895996408,-161385.674703318,"3"
1732.86725845335,-161388.334327244,"3"
1897.83562904681,-191576.502774594,"2"
397.608326308198,-191731.265088931,"2"
1743.34657590741,-161388.045592322,"3"
706.44265967173,-161458.122033051,"3"
187.232167760131,-191951.199713025,"2"
1541.49187692997,-191585.985345736,"2"
931.324039934302,-161429.67366829,"3"
1114.8464470369,-191605.312180934,"2"
717.708253155013,-161456.272752988,"3"
961.52191772393,-191616.446921108,"2"
1063.80852569025,-161418.54369061,"3"
14.7931245900578,-196783.161048943,"2"
1091.80348576832,-191606.785930698,"2"
239.547119954228,-191860.426713627,"2"
152.54425973122,-192045.70583317,"2"
973.560297960941,-161425.796513728,"3"
938.902627180549,-161428.952299617,"3"
1903.79119446983,-191576.374451692,"2"
1025.95062162157,-191611.362576284,"2"
467.280130635272,-161518.418729276,"3"
1963.20615427136,-159397.343763395,"4"
1897.98252142688,-161384.155578668,"3"
1945.65572768225,-161383.081009747,"3"
444.303421788689,-191710.690725096,"2"
1684.07051401337,-161389.726137767,"3"
