A,K,VLL,ELBO,ARI,Clusters,BIC
836.4018078,1763.668576,-2120754.312,1.78545E+13,0.562832162,2,8860498.925
1315.379224,1892.546711,-2628167.103,1.78545E+13,0.562832162,2,9875324.508
853.5129177,1979.316085,-2010010.448,1.78545E+13,0.562832162,2,8639011.197
1864.765137,663.2042282,-6121088.916,1.78545E+13,0.562832162,2,16861168.13
1406.380593,702.5427041,-5098840.923,1.78545E+13,0.562832162,2,14816672.15
950.1872855,685.1718262,-4143512.897,1.78545E+13,0.562832162,2,12906016.09
1832.21456,670.3625534,-6025963.5,1.78545E+13,0.562832162,2,16670917.3
424.0489445,1140.450866,-1814349.133,1.78545E+13,0.562832162,2,8247688.568
1123.0225,1596.038828,-2665030.307,1.78545E+13,0.562832162,2,9949050.915
1736.736158,738.7765028,-5504253.096,1.78545E+13,0.562832162,2,15627496.49
238.5187896,1294.902721,-1196222.17,1.78545E+13,0.562832162,2,7011434.641
736.2399236,912.2031219,-2946081.555,1.78545E+13,0.562832162,2,10511153.41
1041.354869,680.0024818,-4396605.728,1.78545E+13,0.562832162,2,13412201.76
871.6957236,527.1505301,-4656182.7,1.78545E+13,0.562832162,2,13931355.7
789.1544924,844.8305085,-3230702.327,1.78545E+13,0.562832162,2,11080394.96
450.6407169,1590.92954,-1548408.865,1.78545E+13,0.562832162,2,7715808.032
1555.966711,1722.125355,-3031766.827,1.78545E+13,0.562832162,2,10682523.96
518.4985086,1048.916815,-2165904.092,1.78545E+13,0.562832162,2,8950798.487
655.4645182,1470.202399,-2038344.191,1.78545E+13,0.562832162,2,8695678.684
16.82075505,1036.489629,-577527.74,1.78545E+13,0.372105671,7,17321533.05
1623.477414,1927.895689,-2898583.041,1.78545E+13,0.562832162,2,10416156.38
202.0538605,616.1958891,-1683043.95,1.78545E+13,0.562832162,2,7985078.202
1979.768755,1359.906539,-3941339.31,1.78545E+13,0.562832162,2,12501668.92
111.6488276,1835.806347,-698290.2095,1.78545E+13,0.445780022,3,8325068.174
1283.377417,647.5308934,-5115758.16,1.78545E+13,0.562832162,2,14850506.62
553.8281383,1484.289049,-1828178.177,1.78545E+13,0.562832162,2,8275346.655
248.3304571,315.9987224,-2805120.436,1.78545E+13,0.548412007,3,12538728.63
417.6855162,560.5485838,-2798702.277,1.78545E+13,0.562832162,2,10216394.86
240.532836,1368.061008,-1165593.831,1.78545E+13,0.521953836,3,9259675.417
1447.401147,1826.675682,-2821343.776,1.78545E+13,0.562832162,2,10261677.85
352.7135452,1593.71477,-1335272.185,1.78545E+13,0.562832162,2,7289534.671
1742.297347,1717.622448,-3212363.96,1.78545E+13,0.562832162,2,11043718.22
110.0699973,1651.168829,-728634.6071,1.78545E+13,0.456326504,3,8385756.969
379.3171501,256.2475662,-4120271.536,1.78545E+13,0.562832162,2,12859533.37
1931.907836,1062.344926,-4564933.352,1.78545E+13,0.562832162,2,13748857.01
1666.805299,328.8053411,-8979158.712,1.78545E+13,0.562832162,2,22577307.73
775.791202,1203.231868,-2552357.437,1.78545E+13,0.562832162,2,9723705.176
1215.368407,814.144429,-4270923.736,1.78545E+13,0.562832162,2,13160837.77
884.9891369,386.993445,-5690692.079,1.78545E+13,0.562832162,2,16000374.46
1527.136087,158.983936,-12132405.19,1.78545E+13,0.562832162,2,28883800.68
518.3265432,283.5869971,-4811330.562,1.78545E+13,0.562832162,2,14241651.43
1647.272042,1351.799184,-3619155.764,1.78545E+13,0.562832162,2,11857301.83
1571.168019,144.1015623,-12735946.41,1.78545E+13,0.562832162,2,30090883.13
645.3083421,1075.436341,-2445134.109,1.78545E+13,0.562832162,2,9509258.521
759.4549703,211.6589463,-7135893.528,1.78545E+13,0.562832162,2,18890777.36
319.4853996,1247.73318,-1447024.489,1.78545E+13,0.562832162,2,7513039.28
1502.502281,495.8741334,-6622908.49,1.78545E+13,0.562832162,2,17864807.28
49.00615516,1102.350054,-676827.564,1.78545E+13,0.386594526,5,12901137.79
1096.589264,1761.849403,-2480163.491,1.78545E+13,0.562832162,2,9579317.284
1959.805833,880.9840947,-5196712.498,1.78545E+13,0.562832162,2,15012415.3
69.29871909,741.2046085,-916392.754,1.78545E+13,0.418150768,5,13380268.17
686.9766539,1345.317761,-2212672.3,1.78545E+13,0.562832162,2,9044334.901
415.2077253,32.35765907,-5372951.88,1.78545E+13,0.562832162,2,15364894.06
1307.58425,1502.03162,-3006044.963,1.78545E+13,0.562832162,2,10631080.23
758.6712087,869.249208,-3095786.702,1.78545E+13,0.562832162,2,10810563.71
617.6046069,1597.229474,-1872236.227,1.78545E+13,0.562832162,2,8363462.755
1038.958902,693.51931,-4334661.663,1.78545E+13,0.562832162,2,13288313.63
264.6499622,154.0507442,-4031537.738,1.78545E+13,0.562832162,2,12682065.78
1587.496967,1542.94698,-3272754.419,1.78545E+13,0.562832162,2,11164499.14
526.6902298,1435.831387,-1807546.778,1.78545E+13,0.562832162,2,8234083.859
1248.318548,177.0641377,-10418944.26,1.78545E+13,0.562832162,2,25456878.82
1328.080709,740.5602556,-4774239.313,1.78545E+13,0.562832162,2,14167468.93
1838.962759,1113.867524,-4323379.456,1.78545E+13,0.562832162,2,13265749.21
379.0392366,719.4173518,-2249384.032,1.78545E+13,0.562832162,2,9117758.367
1174.042327,670.1059136,-4757892.287,1.78545E+13,0.562832162,2,14134774.88
458.1470962,667.7001666,-2661666.988,1.78545E+13,0.562832162,2,9942324.277
878.6715698,1632.638509,-2283737.006,1.78545E+13,0.562832162,2,9186464.313
291.0762471,1774.930337,-1127334,1.78545E+13,0.562832162,2,6873658.301
1152.25582,1976.29425,-2386121.983,1.78545E+13,0.562832162,2,9391234.267
1845.371129,1411.944759,-3723641.924,1.78545E+13,0.562832162,2,12066274.15
876.2788589,1461.248302,-2436347.582,1.78545E+13,0.562832162,2,9491685.465
1605.331073,1007.593515,-4313064.644,1.78545E+13,0.562832162,2,13245119.59
756.6814763,355.8104315,-5421884.138,1.78545E+13,0.562832162,2,15462758.58
1405.683723,600.9908757,-5645851.35,1.78545E+13,0.562832162,2,15910693
1875.502157,569.8158092,-6779526.758,1.78545E+13,0.562832162,2,18178043.82
1502.448223,524.1595808,-6392068.712,1.78545E+13,0.562832162,2,17403127.73
362.5094542,156.353894,-4938260.815,1.78545E+13,0.562832162,2,14495511.93
510.7898694,964.7344102,-2260699.952,1.78545E+13,0.562832162,2,9140390.205
1564.588784,754.7501615,-5146163.013,1.78545E+13,0.562832162,2,14911316.33
758.945958,544.7114672,-4184377.226,1.78545E+13,0.562832162,2,12987744.75
855.5194241,1190.125509,-2726003.94,1.78545E+13,0.562832162,2,10070998.18
920.2192525,666.577753,-4137764.707,1.78545E+13,0.562832162,2,12894519.72
116.9790169,1596.16579,-758491.6247,1.78545E+13,0.450581911,3,8445471.005
84.58700947,1686.407793,-656011.2235,1.78545E+13,0.437102696,3,8240510.202
650.1357497,751.7523455,-3086734.342,1.78545E+13,0.562832162,2,10792458.99
1898.423202,1840.938392,-3212264.792,1.78545E+13,0.562832162,2,11043519.89
588.7665443,1741.936795,-1730363.753,1.78545E+13,0.562832162,2,8079717.808
1288.170236,1697.576586,-2769832.86,1.78545E+13,0.562832162,2,10158656.02
268.4094376,1036.488275,-1455203.905,1.78545E+13,0.562832162,2,7529398.111
1175.527836,689.4268581,-4673654.541,1.78545E+13,0.562832162,2,13966299.38
1220.284804,19.31366871,-8312049.011,1.78545E+13,0.562832162,2,21243088.32
782.1919413,663.2486662,-3757850.891,1.78545E+13,0.562832162,2,12134692.08
1942.089518,1154.381246,-4336322.596,1.78545E+13,0.562832162,2,13291635.49
1662.761883,646.6816068,-5878186.943,1.78545E+13,0.562832162,2,16375364.19
282.0701188,577.2406187,-2139902.049,1.78545E+13,0.562832162,2,8898794.4
133.5635987,1353.664035,-870571.8413,1.78545E+13,0.441928832,3,8669631.438
27.2161431,945.0388261,-641983.0537,1.78545E+13,0.39354645,4,10521951.32
1271.569935,986.2423891,-3864110.655,1.78545E+13,0.562832162,2,12347211.61
1772.373934,1902.189529,-3049765.621,1.78545E+13,0.562832162,2,10718521.54
677.4788187,1736.218504,-1887182.449,1.78545E+13,0.562832162,2,8393355.2
1229.831776,603.8878677,-5227510.355,1.78545E+13,0.562832162,2,15074011.01
1440.948274,981.2706997,-4148177.061,1.78545E+13,0.562832162,2,12915344.42
1906.90504,493.5625366,-7497416.169,1.78545E+13,0.562832162,2,19613822.64
1488.841621,1805.982352,-2881982.924,1.78545E+13,0.562832162,2,10382956.15
209.5515772,86.6386385,-3936120.065,1.78545E+13,0.548412007,3,14800727.89
835.2367378,620.2781277,-4086430.53,1.78545E+13,0.562832162,2,12791851.36
271.2085705,338.3966527,-2857462.003,1.78545E+13,0.562832162,2,10333914.31
583.5553342,1392.059604,-1961009.338,1.78545E+13,0.562832162,2,8541008.978
1492.265924,49.87644215,-13504631.38,1.78545E+13,0.562832162,2,31628253.06
1074.970216,154.5457186,-10045004.45,1.78545E+13,0.488519575,3,27018496.66
540.1412968,110.7971415,-7102438.729,1.78545E+13,0.562832162,2,18823867.76
351.8200646,1602.117107,-1329395.508,1.78545E+13,0.562832162,2,7277781.317
1109.74293,1606.197231,-2637275.365,1.78545E+13,0.562832162,2,9893541.032
503.0363232,1654.246872,-1619239.114,1.78545E+13,0.562832162,2,7857468.531
601.141796,1913.761352,-1662539.745,1.78545E+13,0.562832162,2,7944069.791
1488.940636,1299.984569,-3522578.999,1.78545E+13,0.562832162,2,11664148.3
171.0331532,138.2266158,-3173533.713,1.78545E+13,0.562832162,2,10966057.73
799.8087447,131.619677,-8804045.197,1.78545E+13,0.562832162,2,22227080.7
1633.009597,1543.575605,-3318849.271,1.78545E+13,0.562832162,2,11256688.84
583.3911347,1994.023996,-1596551.268,1.78545E+13,0.562832162,2,7812092.837
530.9429464,1737.119224,-1627708.386,1.78545E+13,0.562832162,2,7874407.075
475.7451907,687.8221575,-2676202.633,1.78545E+13,0.562832162,2,9971395.567
195.935478,450.8165212,-1988162.238,1.78545E+13,0.562832162,2,8595314.777
408.6338644,284.7224412,-4100531.29,1.78545E+13,0.562832162,2,12820052.88
416.4294062,1768.207851,-1392030.675,1.78545E+13,0.562832162,2,7403051.651
1200.669244,830.5873604,-4186597.082,1.78545E+13,0.562832162,2,12992184.47
1390.183342,1893.297397,-2705585.725,1.78545E+13,0.562832162,2,10030161.75
1275.095342,1612.042248,-2841054.778,1.78545E+13,0.562832162,2,10301099.86
1533.005526,1273.248185,-3623451.116,1.78545E+13,0.562832162,2,11865892.53
819.8297998,1597.417749,-2220568.774,1.78545E+13,0.562832162,2,9060127.85
1163.045435,202.4782841,-9452992.182,1.78545E+13,0.562832162,2,23524974.67
1658.958728,727.5804487,-5433102.068,1.78545E+13,0.562832162,2,15485194.44
392.4699081,659.2757774,-2429210.291,1.78545E+13,0.562832162,2,9477410.883
706.0854185,707.499003,-3381120.89,1.78545E+13,0.562832162,2,11381232.08
350.1785158,479.8987541,-2747458.985,1.78545E+13,0.562832162,2,10113908.27
1239.050314,1349.341989,-3118967.796,1.78545E+13,0.562832162,2,10856925.89
304.5528994,869.5831098,-1744771.002,1.78545E+13,0.562832162,2,8108532.306
112.9763835,1069.148525,-914288.4249,1.78545E+13,0.456326504,3,8757064.605
1136.844756,1520.510246,-2762967.564,1.78545E+13,0.562832162,2,10144925.43
1251.213297,1431.312687,-3023164.077,1.78545E+13,0.562832162,2,10665318.45
