"x","y","Cluster"
742.003506085068,-236566.897528027,"2"
514.340297096178,-230325.693334531,"2"
1228.59321619811,-251322.304046308,"2"
1656.30594450229,-263307.179506887,"2"
1072.93877775895,-246195.609462671,"3"
1373.79523331217,-255080.097309471,"3"
25.0221537713157,-225065.60494912,"3"
1446.86226937581,-257612.751957226,"2"
313.841230259244,-227047.809118387,"2"
10.49585948763,-232878.991338087,"3"
1063.06475801517,-181476.718444032,"3"
1383.62246574044,-255825.850866048,"2"
1943.35633007906,-270543.026991443,"2"
1203.44644763008,-250576.637315449,"2"
1494.07967101912,-181358.062203954,"3"
1147.07725801593,-248891.618239575,"2"
1834.97509859475,-267887.670593989,"2"
624.948920516759,-233191.980354889,"2"
1137.73257592007,-248610.598260926,"2"
1800.71264384236,-267029.023325634,"2"
1804.24552644555,-267117.990785353,"2"
1669.03027311787,-263641.842888099,"2"
1211.39930220105,-250812.880576321,"2"
1662.70876965317,-263475.743163807,"2"
739.001369755111,-236477.690395787,"2"
1612.25646065252,-262138.590186469,"2"
863.162606054447,-240230.214706848,"2"
1107.08597576056,-247685.911897128,"2"
1168.22013739109,-249525.728774056,"2"
403.666527664759,-228066.34154733,"2"
13.8786049830595,-230802.490610399,"3"
1190.19241721948,-181355.292168436,"3"
43.7351018434179,-239381.965622614,"2"
115.261288533121,-231434.044621994,"2"
277.319221744057,-226967.273579382,"2"
1034.41938836055,-245477.217210945,"2"
1224.50781439796,-251201.428062048,"2"
1821.81198714897,-267558.891267275,"2"
1744.50805663748,-181525.454423753,"3"
536.233451296922,-230856.517124036,"2"
1131.5362449971,-248424.010876555,"2"
145.648899539115,-229664.58796168,"2"
1834.43895996408,-267874.306044088,"2"
1732.86725845335,-181515.771825045,"3"
1897.83562904681,-269438.940544988,"2"
397.608326308198,-227969.299924344,"2"
1743.34657590741,-265570.484611617,"2"
706.44265967173,-235517.519203717,"2"
187.232167760131,-228122.525362102,"2"
1541.49187692997,-260228.731924499,"2"
931.324039934302,-242319.142190389,"2"
1114.8464470369,-247920.492593456,"2"
717.708253155013,-182630.418538398,"3"
961.52191772393,-243245.665484806,"2"
1063.80852569025,-246372.920970288,"2"
14.7931245900578,-230272.09014129,"3"
1091.80348576832,-181440.155757268,"3"
239.547119954228,-227173.188234944,"2"
152.54425973122,-198801.536265279,"3"
973.560297960941,-243614.845824339,"2"
938.902627180549,-242551.691479437,"2"
1903.79119446983,-269584.306390892,"2"
1025.95062162157,-245218.598264248,"2"
467.280130635272,-229266.783705434,"2"
1963.20615427136,-181729.01347654,"3"
1897.98252142688,-269442.529281463,"2"
1945.65572768225,-270598.37187634,"2"
444.303421788689,-185738.188590202,"3"
1684.07051401337,-264035.740409472,"2"
1724.97854592754,-265097.920382315,"2"
1684.44372987496,-264045.491679003,"2"
855.402797879742,-239993.0644312,"2"
1013.94283765791,-244851.562136287,"2"
16.4063912754658,-229365.703030895,"3"
683.218821598361,-234842.050121595,"2"
486.547698502295,-229685.453829696,"2"
1814.37792718924,-267372.60240602,"2"
1754.17597284315,-265847.833627683,"2"
1810.26115285841,-267269.252427618,"2"
207.403903118591,-227196.281708291,"3"
793.968058422534,-238125.388524959,"2"
1123.8897662012,-248193.491074956,"2"
1506.66567355924,-259274.17126855,"2"
1339.99198901831,-181317.836145371,"3"
998.043660346534,-244365.032731841,"2"
1847.28153347877,-268193.814387244,"2"
1115.37475510776,-247936.451842072,"2"
92.9577605645692,-206502.289523486,"3"
541.558947227394,-230988.812879938,"2"
495.451564225213,-229886.1443581,"2"
1556.1982009806,-260628.930547091,"2"
1683.05766770217,-181476.06331432,"3"
1190.63438750104,-250195.250525637,"2"
894.07372183536,-181839.010620281,"3"
429.001667389958,-228507.14323918,"2"
1059.1926477004,-246232.439158495,"2"
804.839539960671,-182169.860419479,"3"
744.233343208639,-236633.222923835,"2"
1978.25958828179,-271378.742173868,"2"
307.03929941183,-227015.039026152,"2"
230.13083452278,-227280.244384515,"2"
405.940545332077,-227701.598417635,"3"
1288.97244965006,-253096.124111643,"2"
1859.09804568125,-268486.647064217,"2"
1800.79967779525,-267031.216264813,"2"
689.630937622773,-235027.671601265,"2"
1495.64312452213,-258970.054811212,"2"
1392.36612536208,-256074.716145305,"2"
649.409270854007,-182765.012859096,"4"
798.344193970233,-238257.686581931,"2"
1205.0945667328,-250625.626953644,"2"
684.157721366499,-234869.186028028,"2"
1232.76426428059,-251445.605464485,"2"
1997.48394697446,-271835.056186514,"2"
552.649676058472,-184085.534908159,"3"
1759.58652878841,-265986.050976714,"2"
247.074362923841,-192036.605913461,"3"
299.468430035373,-226494.355430861,"3"
1074.4444594629,-246696.31473223,"2"
1726.47822618912,-180653.974905017,"5"
587.07888084988,-232163.734245972,"2"
933.47905088068,-242385.268496759,"2"
1528.90710140728,-259334.531688275,"3"
574.96119291167,-231843.809236418,"2"
1951.31793489084,-270198.52954869,"3"
1838.50465078858,-267975.596535844,"2"
1533.19797204923,-260002.274026355,"2"
231.911064985727,-227258.101541991,"2"
517.735818008386,-230406.582622184,"2"
681.735011072658,-234799.196546789,"2"
1298.07149868878,-253361.311678671,"2"
1544.58183697432,-181383.570066221,"3"
1061.74408632539,-181478.543989308,"3"
124.366961137659,-230833.962819493,"2"
1890.38020967056,-268784.812216414,"3"
1694.0880435738,-264297.087565727,"2"
1049.17760011451,-245927.374380939,"2"
1336.99761898692,-254489.241873058,"2"
680.605424879548,-234766.599097162,"2"
1826.50968973915,-181597.415651495,"3"
1101.47537313325,-181429.1565747,"3"
1913.22789123146,-269814.075189574,"2"
1407.00208799572,-256490.003895516,"2"
1775.12509894826,-181551.585800266,"3"
1417.48882762467,-256786.562575176,"2"
1110.55494076733,-247790.805156667,"2"
383.40593202993,-227755.64777102,"2"
