"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,151161.615555894,-254685.477124338,-0.0073418778506889,20,45887621.2325823,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"2",-2536641.05965631,17902031788879.4,0.498805924309898,3,12001769.8744721,150843.054367627,-251430.56159416,-0.00119007539753999,20,45888258.3549588,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"3",-2536059.24066254,17902031434520.4,0.441928831792558,3,12000606.2364845,150654.251999835,-249474.911583568,0.00129494270268584,20,45888635.9596944,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"4",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150580.099583494,-251696.322889111,-0.00488420462246735,20,45888784.2645271,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"5",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150954.550058439,-254416.2147027,-0.00755667506297229,20,45888035.3635772,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"6",-2536974.67251622,17902032157669.5,0.534778941412533,3,12002437.1001919,151097.714483788,-252882.925081368,0.00805671169718094,20,45887749.0347265,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"7",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150589.901880067,-251640.281847409,0.00289118694523889,20,45888764.659934,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"8",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150835.250068576,-253893.818242076,0.0195617969612287,20,45888273.9635569,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"9",-2536779.29441883,17902031877018.7,0.509956563732036,3,12002046.3439971,150793.733314119,-252578.980837806,0.00314487549578728,20,45888356.9970659,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"10",-2536421.76681784,17902031624268.8,0.47911396113061,3,12001331.2887951,150956.362642017,-253811.192382031,-0.00284846630099579,20,45888031.7384101,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"11",-2536149.02791011,17902031525086.3,0.445780022265606,3,12000785.8109797,151035.218813534,-250474.597077621,0.0100643458175219,20,45887874.026067,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"12",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150862.065449322,-251775.700338522,0.011325986324224,20,45888220.3327954,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"13",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150808.81617548,-251701.117249081,-0.000782625709254555,19,43578829.3778999,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"14",-2536363.74688274,17902025984931.5,0.467283426061024,4,14310712.7023681,150964.38506803,-250254.329719131,0.0100991077944396,20,45888015.693558,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"15",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150748.189131359,-249167.680421042,0.00161024302162885,20,45888448.0854314,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
"16",-2537286.46351198,17902038543903.5,0.562832161837819,2,9693563.2287402,150921.799756955,-249781.864477007,0.012082389192495,20,45888100.8641802,-1035188.03256752,-94836300404.2151,0,1,4379868.91340807
